"date","rights","n"
"1960","accès dans Gallica",856
"1960","accès dans Retronews",756
"1961","accès dans Gallica",820
"1961","accès dans Retronews",548
"1962","accès dans Gallica",1132
"1962","accès dans Retronews",427
"1963","accès dans Gallica",986
"1963","accès dans Retronews",381
"1964","accès dans Gallica",990
"1964","accès dans Retronews",378
"1965","accès dans Gallica",1009
"1965","accès dans Retronews",389
"1966","accès dans Gallica",1055
"1966","accès dans Retronews",385
"1967","accès dans Gallica",825
"1967","accès dans Retronews",372
"1967","autre accès restreint",1
"1968","accès dans Gallica",960
"1968","accès dans Retronews",373
"1968","autre accès restreint",1
"1969","accès dans Gallica",1002
"1969","accès dans Retronews",377
"1969","autre accès restreint",1
"1970","accès dans Gallica",778
"1970","accès dans Retronews",215
"1970","autre accès restreint",1
"1971","accès dans Gallica",827
"1971","accès dans Retronews",48
"1971","autre accès restreint",1
"1972","accès dans Gallica",904
"1972","accès dans Retronews",30
"1972","autre accès restreint",1
"1973","accès dans Gallica",810
"1973","accès dans Retronews",21
"1973","autre accès restreint",1
"1974","accès dans Gallica",775
"1974","accès dans Retronews",21
"1974","autre accès restreint",1
"1975","accès dans Gallica",819
"1975","accès dans Retronews",23
"1975","autre accès restreint",1
"1976","accès dans Gallica",794
"1976","accès dans Retronews",27
"1976","autre accès restreint",1
"1977","accès dans Gallica",824
"1977","accès dans Retronews",22
"1977","autre accès restreint",1
"1978","accès dans Gallica",816
"1978","accès dans Retronews",18
"1978","autre accès restreint",1
"1979","accès dans Gallica",854
"1979","accès dans Retronews",21
"1979","autre accès restreint",1
"1980","accès dans Gallica",848
"1980","accès dans Retronews",20
"1980","autre accès restreint",1
"1981","accès dans Gallica",801
"1981","accès dans Retronews",10
"1981","autre accès restreint",1
"1982","accès dans Gallica",777
"1982","accès dans Retronews",9
"1982","autre accès restreint",1
"1983","accès dans Gallica",743
"1983","accès dans Retronews",15
"1983","autre accès restreint",1
"1984","accès dans Gallica",764
"1984","accès dans Retronews",9
"1984","autre accès restreint",1
"1985","accès dans Gallica",732
"1985","accès dans Retronews",11
"1985","autre accès restreint",1
"1986","accès dans Gallica",806
"1986","accès dans Retronews",12
"1986","autre accès restreint",1
"1987","accès dans Gallica",851
"1987","accès dans Retronews",9
"1987","autre accès restreint",1
"1988","accès dans Gallica",823
"1988","accès dans Retronews",10
"1988","autre accès restreint",1
"1989","accès dans Gallica",846
"1989","accès dans Retronews",7
"1989","autre accès restreint",1
"1990","accès dans Gallica",995
"1990","accès dans Retronews",7
"1990","autre accès restreint",1
