"date","principales_sources","n"
"1871","Bibliothèque et Archives de l'Assemblée nationale",194
"1871","Bibliothèque nationale de France",14258
"1871","Bibliothèque nationale et universitaire de Strasbourg",23
"1871","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",7
"1872","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",167
"1872","Autre",322
"1872","Banque de France",307
"1872","Bibliothèque Carré d'art / Nîmes",354
"1872","Bibliothèque du Ministère des Affaires étrangères",3
"1872","Bibliothèque et Archives de l'Assemblée nationale",220
"1872","Bibliothèque nationale de France",17424
"1872","Bibliothèque nationale et universitaire de Strasbourg",216
"1872","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",71
"1873","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",181
"1873","Autre",294
"1873","Banque de France",310
"1873","Bibliothèque Carré d'art / Nîmes",355
"1873","Bibliothèque du Ministère des Affaires étrangères",3
"1873","Bibliothèque et Archives de l'Assemblée nationale",191
"1873","Bibliothèque nationale de France",18541
"1873","Bibliothèque nationale et universitaire de Strasbourg",254
"1873","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",21
"1874","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",175
"1874","Autre",308
"1874","Banque de France",310
"1874","Bibliothèque Carré d'art / Nîmes",354
"1874","Bibliothèque du Ministère des Affaires étrangères",3
"1874","Bibliothèque et Archives de l'Assemblée nationale",165
"1874","Bibliothèque nationale de France",19035
"1874","Bibliothèque nationale et universitaire de Strasbourg",235
"1874","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",24
"1875","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",208
"1875","Autre",270
"1875","Banque de France",310
"1875","Bibliothèque Carré d'art / Nîmes",358
"1875","Bibliothèque du Ministère des Affaires étrangères",1
"1875","Bibliothèque et Archives de l'Assemblée nationale",183
"1875","Bibliothèque nationale de France",21054
"1875","Bibliothèque nationale et universitaire de Strasbourg",53
"1875","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",65
"1876","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",229
"1876","Autre",268
"1876","Banque de France",309
"1876","Bibliothèque Carré d'art / Nîmes",357
"1876","Bibliothèque du Ministère des Affaires étrangères",2
"1876","Bibliothèque du Sénat",194
"1876","Bibliothèque et Archives de l'Assemblée nationale",134
"1876","Bibliothèque nationale de France",21675
"1876","Bibliothèque nationale et universitaire de Strasbourg",183
"1876","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",50
"1877","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",580
"1877","Autre",329
"1877","Banque de France",308
"1877","Bibliothèque Carré d'art / Nîmes",361
"1877","Bibliothèque du Ministère des Affaires étrangères",3
"1877","Bibliothèque du Sénat",183
"1877","Bibliothèque et Archives de l'Assemblée nationale",98
"1877","Bibliothèque nationale de France",21721
"1877","Bibliothèque nationale et universitaire de Strasbourg",60
"1877","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",94
"1878","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",431
"1878","Autre",337
"1878","Banque de France",309
"1878","Bibliothèque Carré d'art / Nîmes",358
"1878","Bibliothèque du Ministère des Affaires étrangères",3
"1878","Bibliothèque du Sénat",228
