"date","Mean","Max","Min","Median","Std"
"1785",264.567627494457,831,0,220,231.170483926
"1786",253.414691943128,1132,0,191,233.378513813933
"1787",222.351063829787,967,0,136,219.983821823049
"1788",183.926517571885,1431,0,87,211.477017644219
"1789",93.8762343647136,1364,0,25,156.21345049637
"1790",71.2299757281553,1423,0,22,130.538266899774
"1791",75.4848746758859,991,0,20,139.344787166485
"1792",102.556277056277,1064,0,21,190.243318208733
"1793",71.5326547921968,948,0,21,125.082483796866
"1794",79.6221662468514,861,0,24,130.959330873529
"1795",68.8668885191348,910,0,23,121.052862771336
"1796",91.87,625,0,28,128.715455314713
"1797",117.735739231665,958,0,40,158.572084792788
"1798",141.624685138539,846,0,48,187.431878019915
"1799",96.90234375,876,0,28,147.624924119735
"1800",162.262230919765,836,0,92,169.95505092643
"1801",182.383855024712,870,0,128,180.260727752699
"1802",216.377492877493,1056,0,207.5,175.547827933404
"1803",203.739329268293,977,0,172,185.781832262842
"1804",194.639794168096,1253,0,124,197.120013144501
"1805",205.655629139073,962,0,152,193.590448311154
"1806",178.547206165703,1056,0,96,181.371111013119
"1807",190.697986577181,890,0,128,184.707842439668
"1808",227.835322195704,1020,0,190,209.973236146141
"1809",224.862619808307,1030,0,156,212.754742426969
"1810",197.584645669291,802,0,158.5,182.298600661736
"1811",197.381512605042,1056,0,116,205.88629301366
"1812",230.641414141414,871,0,181,209.27993718933
"1813",180.847246891652,886,0,118,185.607096897084
"1814",107.949380165289,1143,0,46,148.079950314825
"1815",101.435667752443,726,0,46.5,127.771986188546
"1816",161.055281342547,784,0,74,184.863770224844
"1817",167.897334649556,881,0,90,177.072218253114
"1818",168.394042553191,1110,0,86,177.460556738304
"1819",191.262218045113,848,0,114,191.83638921454
"1820",180.285827395091,1122,0,86,193.92731049594
"1821",211.567389875082,1142,0,142,214.667747164594
"1822",192.560655737705,1154,0,110,196.739023179366
"1823",209.865384615385,1198,0,135,213.512964933184
"1824",196.685233160622,1148,0,108,214.497642205098
"1825",193.918054630247,1196,0,130,192.003532815969
"1826",192.26364280652,913,0,116,194.267881740134
"1827",173.737593984962,924,0,83.5,196.140099458848
"1828",207.977412731006,1474,0,126,212.936498114325
"1829",191.854899497487,1240,0,140.5,187.992720685303
"1830",153.446999439148,976,0,58,183.739984787718
"1831",122.038147138965,1028,0,42,156.835030847688
"1832",159.512820512821,1244,0,72,180.983640804738
"1833",182.586206896552,962,0,94.5,191.764184008058
"1834",220.595558546433,1040,0,178,204.926245960078
"1835",218.126331811263,1088,0,138.5,215.709627940854
"1836",230.579061371841,1306,0,150,221.195826444356
"1837",225.918486171761,1830,0,132,248.92104369559
"1838",214.122085889571,1368,0,120,218.089847368967
"1839",213.377575757576,1130,0,116,226.195689292791
"1840",203.345994065282,1204,0,111,214.403638036397
"1841",177.771395749569,1376,0,82,202.312522858731
"1842",188.010111761575,1336,0,96,207.971836495298
"1843",193.055885850178,1058,0,98,209.43472366856
"1844",187.602949208083,1016,0,102,204.602467206351
"1845",198.780063291139,1092,0,108.5,206.557269763201
"1846",187.357142857143,1162,0,88,205.261414589015
"1847",200.191891891892,1876,0,110,205.749372180621
"1848",95.6759818731118,1185,0,26,152.901441365372
"1849",121.409312398484,1268,0,44,170.230912831796
"1850",155.029866117405,1196,0,70,189.377105078072
"1851",158.202524986849,1556,0,76,184.656590270868
"1852",152.771983640082,1014,0,74,176.330253252596
"1853",176.229889750919,1258,0,84,207.0396515377
"1854",181.420283975659,2000,0,84,210.731703564259
"1855",175.38134057971,1290,0,86,199.505286323599
"1856",176.136882129278,2084,0,88,209.673398212757
"1857",176.06320836966,1302,0,94.5,194.356455197015
"1858",204.32972972973,2408,0,106,224.661551259025
"1859",170.272800645682,1825,0,90,189.956015122907
"1860",172.6396172927,1385,0,88,193.773400197682
"1861",168.792299540798,1859,0,80,195.162925387949
"1862",177.155862557563,1456,0,83,202.873153594789
"1863",183.684191829485,2209,0,96,201.320521727327
"1864",181.111401869159,1165,0,102,188.06009121182
"1865",166.833777481679,1898,0,76,193.406371861845
"1866",167.681028938907,1642,0,74,198.923089385669
"1867",174.61412051126,1792,0,81.5,204.816999437775
"1868",155.700916851091,1308,0,70,185.259802759397
"1869",172.823211446741,1319,0,82,196.476451743093
"1870",148.617335352006,1895,0,57.5,202.977624354647
"1871",107.873661670236,1170,0,49,145.479020493908
"1872",159.388220392654,1656,0,76,194.392682627638
"1873",175.889755405884,1658,0,92,197.03516868817
"1874",163.44466868483,2232,0,76,201.27434869216
"1875",172.4671577655,1837,0,84,201.334370396772
"1876",183.633312222926,2111,0,86.5,209.98196928156
"1877",171.154769230769,1612,0,78,201.309981302964
"1878",192.954331766286,1514,0,115,198.100829866491
"1879",187.938180653427,1792,0,108,199.528601033044
"1880",191.768120489489,2026,0,104,207.588042146
"1881",191.152519893899,1486,0,108,201.366754368223
"1882",197.734420289855,2354,0,120,210.156661847905
"1883",207.027758970887,1650,0,118,213.573718090925
"1884",205.422920892495,1978,0,122.5,211.220717225312
"1885",197.759124087591,1484,0,114,209.728072561527
"1886",196.176812585499,1643,0,112,214.511774179603
"1887",207.191224862888,1758,0,124,213.022955195349
"1888",210.843624161074,1598,0,132,218.693992785159
"1889",218.893380012731,2500,0,134,230.751713237729
"1890",205.192,1486,0,117,221.176132761989
"1891",189.547556881761,1152,0,105,198.851547968051
"1892",205.222553033122,1818,0,118,207.122663676314
"1893",209.227758007117,1744,0,132,214.00107100335
"1894",206.022316684378,1422,0,119,215.180880510715
"1895",207.989803921569,1752,0,140.5,209.847499910938
"1896",196.40275124188,1744,0,124,198.191787212341
"1897",192.199694539901,1432,0,114,201.91798492335
"1898",201.797197353056,1516,0,132,204.066743307746
"1899",196.244880902633,1350,0,113,207.505728352843
"1900",208.071428571429,1680,0,124,217.369540251914
"1901",208.683942225998,1516,0,124,211.507461398827
"1902",198.513547840813,1837,0,114,206.661422854122
"1903",199.493444055944,1632,0,116,205.237382051964
"1904",197.611795774648,1713,0,109.5,217.624363392512
"1905",206.601371624518,1928,0,124,213.970769628489
"1906",206.070390554042,1344,0,124,214.47369951251
"1907",202.4528,1956,0,130,204.100353783413
"1908",209.903548225887,1762,0,132,214.999777191521
"1909",211.552376333657,1682,0,128.5,220.689543798626
"1910",212.273831775701,1917,0,136,212.741443326273
"1911",209.337456704602,2238,0,128,222.619875210806
"1912",210.919282511211,2214,0,134,212.661706608197
"1913",204.97628458498,1330,0,132,203.848352207726
"1914",198.210980876002,1622,0,108,219.63496911267
"1915",172.658038147139,1150,0,100,175.837179614422
"1916",205.554385964912,1228,0,134,205.556978035364
"1917",197.020833333333,1847,0,135,181.904198567672
"1918",183.835336538462,1228,0,116.5,176.06983777779
"1919",176.191268191268,1684,0,110.5,192.522833508432
"1920",187.488077496274,1586,0,100,203.093850442172
"1921",222.340807174888,1462,0,152,222.945561127114
"1922",224.859980139027,1900,0,156,231.766608235616
"1923",242.444805194805,1835,0,197,233.488045924096
"1924",215.905963302752,1471,0,167,203.272091999253
"1925",228.761410788382,1432,0,193.5,195.806782516387
"1926",231.947263681592,1628,0,192,208.377956401628
"1927",227.450873362445,1538,0,191,193.969573382383
"1928",204.582266009852,1688,0,158,213.038807293427
"1929",257.560853199498,1098,0,220,205.85029046298
"1930",238.363636363636,1523,0,208,203.57539867107
"1931",241.261996161228,1400,0,196,231.083717327879
"1932",229.305626598465,1316,0,205,193.333033686754
"1933",210.545796737767,1070,0,188,171.15061976591
"1934",210.703494926719,1277,0,180,182.187309100421
"1935",218.628027681661,1828,0,194,174.860988825133
"1936",206.997440273038,1469,0,184,153.692815814749
"1937",190.364757709251,1386,0,172,158.210397805634
"1938",191.174152153987,1260,0,176,160.633970241341
"1939",204.30664652568,1186,0,184,176.706012211019
"1940",194.320675105485,1885,8,158,191.794509879405
"1941",189.017361111111,826,8,172,143.642084634098
"1942",185.172549019608,812,2,178,145.313703661504
"1943",177.131034482759,1028,8,172,139.533441821197
"1944",173.485185185185,806,2,158,141.60830632103
"1945",163.338983050847,872,0,149,130.444558858137
"1946",191.797671033479,846,6,190,135.066136894767
"1947",201.465667915106,1026,4,172,170.331585832853
"1948",172.177545691906,870,0,148,136.636571788255
"1949",180.087365591398,920,4,154,146.103723002359
"1950",188.591025641026,780,0,196,131.321741990264
"1951",184.444608567208,796,8,168,137.797151601115
"1952",187.059945504087,776,0,196,128.814382370877
"1953",184.330759330759,1006,0,181,133.962325422267
"1954",197.17735042735,864,8,200,120.857394021453
"1955",193.346756152125,894,6,200,124.632972947742
"1956",185.995098039216,852,6,192,118.014639730269
"1957",188.346003898635,886,2,196,117.978022627267
"1958",195.250688705234,804,3,196,110.411340538326
"1959",201.016593886463,772,2,196,115.217431591683
"1960",206.314668769716,1212,0,200,122.103509879246
"1961",211.622257053292,1005,2,208,117.837887738146
"1962",217.007518796992,964,3,204,122.767157770441
"1963",210.347635726795,967,2,200,132.564527930347
"1964",216.977663230241,984,8,217,128.192861138261
"1965",232.833333333333,952,3,224,134.294800484428
"1966",225.007121057986,705,8,212,131.729398270814
"1967",237.204,1076,0,224,141.200112803977
"1968",236.593778591034,1056,14,228,131.798462938888
"1969",233.212151394422,928,8,223,133.07543199236
"1970",241.31847133758,968,12,224,131.482201704288
"1971",248.778260869565,784,6,235.5,127.209808488893
"1972",245.056555269923,888,17,232,133.396292302144
"1973",231.054567022539,808,7,220,130.330046456688
"1974",229.929245283019,1120,0,228,121.625967658526
"1975",217.881729920565,922,4,216,130.633365209041
"1976",225.638591117917,1064,6,212,140.433181545292
"1977",227.227096774194,950,2,228,122.157319172696
"1978",228.283669486012,938,0,224,133.546209426367
"1979",230.014751075599,900,4,216,133.201203702822
"1980",219.664749856239,1414,8,208,129.755270106261
"1981",216.316349384099,1377,8,204,127.215334467132
"1982",223.978711484594,1112,6,208,129.05183108768
"1983",214.286599099099,1304,8,196,127.388524304743
"1984",219.325431034483,1172,0,200,134.764891489775
"1985",222.181315921647,1262,3,208,125.292709635939
"1986",224.951181102362,1800,16,204,126.888206064049
"1987",224.031614785992,926,8,208,125.350197417953
"1988",227.500502008032,1254,4,206,130.071957829928
"1989",220.225138818778,1584,8,198,134.820909245342
"1990",221.329901960784,1416,0,202,128.016671793088
"1991",217.877551020408,1352,2,196,131.197956671339
"1992",216.986773736419,1640,12,196,130.5761763156
"1993",213.356828193833,1496,5,196,134.014414548149
"1994",210.7961751384,1444,4,196,124.362119565992
"1995",213.279823269514,886,12,196,120.513049658061
"1996",204.940239043825,1160,12,180,124.233127103033
"1997",197.766594360087,956,8,172,119.12020588276
"1998",207.630501535312,1126,4,180,126.033930245074
"1999",202.593126385809,1768,12,180,122.646187359651
"2000",188.959912136189,1552,8,164,129.314286356212
"2001",210.140495867769,1451,4,180,191.721425762534
"2002",207.103092783505,1479,32,164,192.055953464527
"2003",227.202702702703,1137,16,181,194.762375746174
"2004",219.95,780,0,228,142.707051480902
"2005",207.283783783784,1085,26,164,184.936532635645
"2006",224.655172413793,975,8,162,204.083449712271
"2007",170.512195121951,400,20,172,101.03937894485
"2008",224.571428571429,1020,30,196,180.652133331746
"2009",171.75,548,32,148,119.15481932235
"2010",130.857142857143,340,8,76,108.076349653832
"2011",207.619047619048,472,16,200,133.145963585261
"2012",195.375,434,24,198,110.142916052381
"2013",140.8,324,8,120,126.143480916684
"2014",203.555555555556,464,24,196,163.360882030484
"2015",201,370,48,193,156.328713506722
"2016",78,124,8,90,49.5849439514321
