"date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien","sdewey","sdewey_nom","sdewey2","sdewey_nom2"
"1807-1808","https://gallica.bnf.fr/ark:/12148/cb39155569c/date","Paris","Les Mille et une nouvelles ",9,"cb39155569c_date",4747,"1807","1819","1807-01-01","1819-12-31",FALSE,84,"Littérature francophone","",""
"1921-1928","https://gallica.bnf.fr/ark:/12148/cb32735817m/date","Paris","Les Cahiers idéalistes ",9,"cb32735817m_date",1794,"1921-02","1925-12","1921-02-01","1925-12-31",FALSE,80,"Littérature Généralités","",""
"1935","https://gallica.bnf.fr/ark:/12148/cb327059267/date","Alger","Les Assurances en Afrique du Nord",9,"cb327059267_date",730,"1935-03","1937-02-28","1935-03-01","1937-02-28",FALSE,0,"Savoir livre informatique","",""
"1919-1919","https://gallica.bnf.fr/ark:/12148/cb327017361/date","Paris","Les Ardennes libérées ",9,"cb327017361_date",84,"1919-04-27","1919-07-20","1919-04-27","1919-07-20",FALSE,7,"Presse et édition","",""
"1887-1888","https://gallica.bnf.fr/ark:/12148/cb32701525t/date","Paris","Les Archives théâtrales ",9,"cb32701525t_date",-1,"1887-04","1887-03","1887-04-01","1887-03-31",FALSE,79,"Loisirs sports arts du spectacle","",""
"1716-1716","https://gallica.bnf.fr/ark:/12148/cb32683221k/date","A Paris","Les Affiches de Paris",9,"cb32683221k_date",138,"1716-02-20","1716-07-07","1716-02-20","1716-07-07",FALSE,NA,NA,"",""
"1906-1911","https://gallica.bnf.fr/ark:/12148/cb32880352r/date","Moulins","Le Travailleur rural ",9,"cb32880352r_date",1703,"1906-08","1911-03","1906-08-01","1911-03-31",FALSE,7,"Presse et édition","",""
"1891-1899","https://gallica.bnf.fr/ark:/12148/cb32877256b/date","Paris","Le Théâtre illustré ",9,"cb32877256b_date",365,"1896","1896","1896-01-01","1896-12-31",FALSE,79,"Loisirs sports arts du spectacle","",""
"1828-1828","https://gallica.bnf.fr/ark:/12148/cb32875760g/date","Paris","Le Tam tam et la lyre",9,"cb32875760g_date",56,"1828-08-17","1828-10-12","1828-08-17","1828-10-12",FALSE,79,"Loisirs sports arts du spectacle","",""
"1913-1914","https://gallica.bnf.fr/ark:/12148/cb32868927q/date","Briançon","Le Socialiste briançonnais ",9,"cb32868927q_date",275,"1913-09-01","1914-06-03","1913-09-01","1914-06-03",FALSE,32,"Science politique","",""
"19??-1932","https://gallica.bnf.fr/ark:/12148/cb32854512d/date","Beaumont sur Oise","Le Réveil des receveurs ",9,"cb32854512d_date",-205,"1932-08","1932-01-09","1932-08-01","1932-01-09",FALSE,NA,NA,"",""
"1919-1921","https://gallica.bnf.fr/ark:/12148/cb328545085/date","Tonneins","Le Réveil des primaires ",9,"cb328545085_date",243,"1919-12","1920-07","1919-12-01","1920-07-31",FALSE,NA,NA,"",""
"1896-1896","https://gallica.bnf.fr/ark:/12148/cb32853937m/date","Bouïra","Le Réveil de Bouïra ",9,"cb32853937m_date",120,"1896-03-28","1896-07-26","1896-03-28","1896-07-26",FALSE,0,"Savoir livre informatique","",""
"1869-1870","https://gallica.bnf.fr/ark:/12148/cb32847949c/date","Toulon","Le Rappel de la Provence ",9,"cb32847949c_date",540,"1869","1870-06-25","1869-01-01","1870-06-25",FALSE,NA,NA,"",""
"1854-1854","https://gallica.bnf.fr/ark:/12148/cb328447718/date","Paris","Le Propagateur de l'Institution agricole et industrielle ",9,"cb328447718_date",63,"1854-08-27","1854-10-29","1854-08-27","1854-10-29",FALSE,60,"Techniques Généralités","",""
"1935-195.","https://gallica.bnf.fr/ark:/12148/cb32843836s/date","Grand Bassam","Le Progrès colonial ",9,"cb32843836s_date",5159,"1935-08-01","1949-09-15","1935-08-01","1949-09-15",FALSE,NA,NA,"",""
"1925-1927","https://gallica.bnf.fr/ark:/12148/cb32839248c/date","Le Caire","Le Ph<U+009C>nix ",9,"cb32839248c_date",396,"1925-12-07","1927-01-07","1925-12-07","1927-01-07",FALSE,90,"Histoire et géographie Généralités","",""
"1932-1933","https://gallica.bnf.fr/ark:/12148/cb32750137h/date","Addis Abeba","Le Petit courrier d'Éthiopie du mardi ",9,"cb32750137h_date",77,"1932-04-05","1932-06-21","1932-04-05","1932-06-21",FALSE,7,"Presse et édition","",""
"1871-1871","https://gallica.bnf.fr/ark:/12148/cb32835117v/date","Paris","Le Père fouettard",9,"cb32835117v_date",364,"1871","1871","1871-01-01","1871-12-31",FALSE,7,"Presse et édition","",""
"1840-1840","https://gallica.bnf.fr/ark:/12148/cb32834841d/date","Paris","Le Pélican ",9,"cb32834841d_date",77,"1840-03-08","1840-05-24","1840-03-08","1840-05-24",FALSE,7,"Presse et édition","",""
"1897-1898","https://gallica.bnf.fr/ark:/12148/cb32834073t/date","Le Mans","Le Patriote du dimanche ",9,"cb32834073t_date",378,"1897-05-02","1898-05-15","1897-05-02","1898-05-15",FALSE,NA,NA,"",""
"1897-1898","https://gallica.bnf.fr/ark:/12148/cb328315050/date","Paris","Le Palais Bourbon et le Luxembourg ",9,"cb328315050_date",159,"1897-12-04","1898-05-12","1897-12-04","1898-05-12",FALSE,32,"Science politique","",""
"1920-1921","https://gallica.bnf.fr/ark:/12148/cb32831478x/date","Paris","Le Pal ",9,"cb32831478x_date",209,"1920-10-01","1921-04-28","1920-10-01","1921-04-28",FALSE,7,"Presse et édition","",""
