n,annee,mois
16040770,1876,4
16325680,1876,5
15013672,1876,6
16007144,1876,7
16259203,1876,8
15907679,1876,9
16458145,1876,10
16026432,1876,11
16159612,1876,12
15457971,1877,1
14885804,1877,2
16551135,1877,3
15241581,1877,4
15787115,1877,5
15774067,1877,6
15576782,1877,7
15703440,1877,8
15588461,1877,9
15933817,1877,10
15943275,1877,11
16028716,1877,12
16872644,1878,1
15683808,1878,2
17797955,1878,3
15815994,1878,4
16619196,1878,5
16263297,1878,6
17783554,1878,7
17664075,1878,8
17204163,1878,9
19849584,1878,10
18128426,1878,11
18269003,1878,12
20814843,1879,1
20218038,1879,2
22655030,1879,3
20897542,1879,4
22963830,1879,5
19866245,1879,6
21896995,1879,7
21141503,1879,8
20615607,1879,9
21952503,1879,10
21574944,1879,11
21857384,1879,12
21505456,1880,1
20879609,1880,2
20407807,1880,3
20652385,1880,4
20663494,1880,5
21582060,1880,6
21553039,1880,7
20901352,1880,8
19640567,1880,9
21075098,1880,10
20748075,1880,11
21568507,1880,12
21387622,1881,1
20536026,1881,2
21688574,1881,3
20479276,1881,4
22579615,1881,5
21656579,1881,6
22256786,1881,7
22084971,1881,8
22136500,1881,9
22865827,1881,10
22385903,1881,11
23143392,1881,12
23772446,1882,1
21782544,1882,2
25078702,1882,3
22701534,1882,4
22944161,1882,5
23410726,1882,6
23564011,1882,7
24551108,1882,8
24411742,1882,9
24053502,1882,10
24058401,1882,11
24528377,1882,12
24324436,1883,1
23225963,1883,2
23607419,1883,3
22936436,1883,4
24737653,1883,5
25053769,1883,6
24507956,1883,7
25232854,1883,8
25676220,1883,9
25936088,1883,10
25378999,1883,11
25170628,1883,12
25840989,1884,1
24370038,1884,2
26593756,1884,3
24342429,1884,4
26494010,1884,5
24032546,1884,6
24858263,1884,7
24437716,1884,8
25424718,1884,9
25358841,1884,10
26367235,1884,11
26278270,1884,12
27157779,1885,1
24884051,1885,2
28328632,1885,3
25829544,1885,4
25575508,1885,5
24597055,1885,6
27221435,1885,7
27005512,1885,8
27629996,1885,9
28831891,1885,10
26505740,1885,11
28303920,1885,12
28525619,1886,1
26836186,1886,2
29271605,1886,3
27349149,1886,4
29150940,1886,5
27256167,1886,6
29933458,1886,7
28864797,1886,8
29054772,1886,9
28377009,1886,10
27290239,1886,11
26706961,1886,12
28412235,1887,1
26627023,1887,2
30419865,1887,3
28047544,1887,4
27913004,1887,5
29167734,1887,6
27746031,1887,7
27282166,1887,8
28889187,1887,9
29945142,1887,10
29492807,1887,11
30419748,1887,12
30988913,1888,1
30699319,1888,2
30590166,1888,3
28196660,1888,4
31506107,1888,5
31274972,1888,6
32378869,1888,7
31945670,1888,8
30680937,1888,9
32371611,1888,10
29773790,1888,11
29614456,1888,12
31968538,1889,1
29373099,1889,2
33028063,1889,3
30155264,1889,4
32640355,1889,5
30807441,1889,6
33111787,1889,7
33906357,1889,8
32052190,1889,9
34367042,1889,10
34476312,1889,11
32642823,1889,12
34811872,1890,1
31857015,1890,2
35475397,1890,3
32845184,1890,4
34954480,1890,5
35221319,1890,6
36556108,1890,7
35754067,1890,8
31939881,1890,9
35153235,1890,10
35100881,1890,11
33924671,1890,12
34269130,1891,1
31786668,1891,2
32797221,1891,3
34503663,1891,4
33305135,1891,5
35220791,1891,6
37873936,1891,7
36546459,1891,8
35865947,1891,9
34590202,1891,10
32663909,1891,11
32537601,1891,12
34300413,1892,1
34871806,1892,2
38105145,1892,3
34037927,1892,4
36041902,1892,5
34573674,1892,6
35029274,1892,7
34029790,1892,8
34215041,1892,9
35780871,1892,10
35264678,1892,11
35521675,1892,12
34712020,1893,1
33428140,1893,2
37403309,1893,3
35021482,1893,4
36892380,1893,5
34788408,1893,6
35891997,1893,7
35883365,1893,8
36421277,1893,9
38072818,1893,10
36878915,1893,11
35449173,1893,12
36518880,1894,1
35009961,1894,2
38630904,1894,3
39410292,1894,4
37982947,1894,5
37983675,1894,6
37065170,1894,7
37766550,1894,8
37573392,1894,9
40244016,1894,10
37262209,1894,11
36524993,1894,12
37438271,1895,1
34722035,1895,2
40005612,1895,3
37278571,1895,4
41352037,1895,5
37313644,1895,6
38963987,1895,7
39843372,1895,8
37871989,1895,9
42428604,1895,10
39544219,1895,11
37947292,1895,12
38880125,1896,1
39267586,1896,2
42128849,1896,3
39534603,1896,4
40763146,1896,5
40137196,1896,6
40386830,1896,7
39524277,1896,8
41891671,1896,9
44394852,1896,10
40155577,1896,11
40435977,1896,12
39786596,1897,1
38540019,1897,2
42992933,1897,3
40133555,1897,4
44070731,1897,5
39439226,1897,6
41907194,1897,7
40487255,1897,8
41799803,1897,9
44037974,1897,10
41732137,1897,11
43363841,1897,12
40234633,1898,1
39995186,1898,2
44421607,1898,3
40967645,1898,4
